,idx
0,3
1,38
2,58
3,59
4,61
5,63
6,64
7,86
8,93
9,94
10,96
11,99
12,101
13,108
14,128
15,129
16,130
17,131
18,132
19,140
20,147
21,153
22,160
23,163
24,170
25,171
26,178
27,179
28,194
29,205
30,210
31,221
32,222
33,223
34,228
35,231
36,232
37,233
38,234
39,241
40,242
41,259
42,264
43,267
44,270
45,281
46,282
47,284
48,286
49,323
50,326
51,330
52,332
53,338
54,344
55,345
56,347
57,348
58,350
59,351
60,362
61,364
62,370
63,372
64,375
65,378
66,379
67,382
68,383
69,385
70,388
71,391
72,393
73,397
74,433
75,440
76,445
77,447
78,466
79,478
80,482
81,483
82,485
83,486
84,488
85,490
86,497
87,502
88,521
89,534
90,535
91,543
92,544
93,547
94,549
95,560
96,563
97,565
98,578
99,579
100,581
101,582
102,584
103,589
104,596
105,603
106,608
107,615
108,620
109,637
110,641
111,648
112,653
113,659
114,673
115,675
116,695
117,696
118,710
119,714
120,717
121,719
122,726
123,745
124,751
125,752
126,759
127,768
128,778
129,795
130,800
131,806
132,819
133,828
134,840
135,850
136,853
137,855
138,857
139,862
140,863
141,866
142,869
143,871
144,872
145,879
146,883
147,894
148,895
149,896
150,897
151,898
152,905
153,908
154,926
155,943
156,960
157,966
158,967
159,968
160,979
161,980
162,982
163,993
164,995
165,999
166,1000
167,1004
168,1005
169,1009
170,1012
171,1016
172,1021
173,1022
174,1023
175,1041
176,1048
177,1061
178,1071
179,1084
180,1089
181,1095
182,1113
183,1114
184,1119
185,1128
186,1132
187,1133
188,1145
189,1159
190,1160
191,1165
192,1166
193,1167
194,1169
195,1177
196,1178
197,1183
198,1184
199,1188
200,1198
201,1201
202,1207
203,1208
204,1211
205,1222
206,1258
207,1259
208,1260
209,1263
210,1266
211,1268
212,1271
213,1294
214,1310
215,1311
216,1327
217,1335
218,1339
219,1340
220,1341
221,1342
222,1353
223,1357
224,1374
225,1376
226,1393
227,1400
228,1414
229,1415
230,1421
231,1433
232,1434
233,1436
234,1437
235,1440
236,1442
237,1469
238,1470
239,1475
240,1490
241,1494
242,1502
243,1503
244,1505
245,1513
246,1515
247,1517
248,1523
249,1527
250,1539
251,1540
252,1541
253,1542
254,1543
255,1557
256,1560
257,1574
258,1579
259,1589
260,1590
261,1595
262,1597
263,1598
264,1605
265,1610
266,1615
267,1622
268,1627
269,1642
270,1645
271,1654
272,1655
273,1656
274,1675
275,1676
276,1678
277,1708
278,1728
279,1729
280,1741
281,1746
282,1758
283,1760
284,1773
285,1785
286,1789
287,1790
288,1794
289,1802
290,1803
291,1804
292,1805
293,1816
294,1819
295,1832
296,1833
297,1841
298,1845
299,1864
300,1867
301,1868
302,1873
303,1887
304,1890
305,1893
306,1894
307,1918
308,1926
309,1927
310,1930
311,1937
312,1952
313,1976
314,1985
315,2005
316,2017
317,2028
318,2033
319,2034
320,2035
321,2047
322,2059
323,2074
324,2077
325,2078
326,2086
327,2090
328,2093
329,2108
330,2116
331,2117
332,2123
333,2149
334,2174
335,2185
336,2203
337,2217
338,2220
339,2221
340,2224
341,2244
342,2257
343,2267
344,2270
345,2274
346,2275
347,2293
348,2314
349,2338
350,2354
351,2356
352,2357
353,2382
354,2384
355,2390
356,2399
357,2405
358,2412
359,2441
360,2442
361,2453
362,2455
363,2467
364,2475
365,2491
366,2495
367,2496
368,2499
369,2502
370,2505
371,2529
372,2540
373,2541
374,2544
375,2548
376,2549
377,2583
378,2588
379,2589
380,2599
381,2600
382,2601
383,2617
384,2622
385,2626
386,2634
387,2635
388,2646
389,2649
390,2662
391,2669
392,2670
393,2674
394,2675
395,2676
396,2680
397,2683
398,2687
399,2704
400,2708
401,2709
402,2710
403,2717
404,2721
405,2725
406,2727
407,2734
408,2746
409,2762
410,2789
411,2797
412,2805
413,2806
414,2814
415,2818
416,2822
417,2840
418,2849
419,2850
420,2859
421,2889
422,2935
423,2945
424,2952
425,2957
426,2963
427,2972
428,2973
429,2975
430,2977
431,3004
432,3011
433,3014
434,3023
435,3033
436,3034
437,3035
438,3038
439,3046
440,3047
441,3048
442,3052
443,3053
444,3054
445,3055
446,3061
447,3063
448,3064
449,3069
450,3082
451,3087
452,3104
453,3124
454,3132
455,3142
456,3160
457,3168
458,3188
459,3193
460,3194
461,3195
462,3196
463,3198
464,3206
465,3208
466,3217
467,3221
468,3222
469,3229
470,3231
471,3234
472,3235
473,3255
474,3258
475,3288
476,3292
477,3300
478,3302
479,3310
480,3311
481,3312
482,3313
483,3329
484,3344
485,3348
486,3349
487,3368
488,3371
489,3372
490,3373
491,3379
492,3383
493,3385
494,3389
495,3395
496,3401
497,3403
498,3404
499,3405
500,3407
501,3424
502,3428
503,3442
504,3452
505,3454
506,3455
507,3462
508,3468
509,3470
510,3471
511,3478
512,3479
513,3482
514,3498
515,3502
516,3505
517,3509
518,3518
519,3524
520,3537
521,3540
522,3541
523,3554
524,3555
525,3556
526,3563
527,3580
528,3581
529,3587
530,3588
531,3589
532,3597
533,3601
534,3608
535,3614
536,3619
537,3621
538,3627
539,3631
540,3638
541,3649
542,3650
543,3651
544,3652
545,3656
546,3662
547,3664
548,3666
549,3669
550,3670
551,3674
552,3678
553,3684
554,3693
555,3714
556,3718
557,3719
558,3729
559,3732
560,3737
561,3738
562,3748
563,3749
564,3750
565,3751
566,3752
567,3775
568,3777
569,3778
570,3780
571,3784
572,3785
573,3787
574,3788
575,3789
576,3790
577,3794
578,3802
579,3807
580,3813
581,3814
582,3815
583,3816
584,3817
585,3821
586,3822
587,3831
588,3832
589,3841
590,3845
591,3848
592,3852
593,3854
594,3860
595,3862
596,3863
597,3865
598,3870
599,3872
600,3873
601,3874
602,3878
603,3880
604,3882
605,3888
606,3889
607,3890
608,3895
609,3900
610,3901
611,3905
612,3910
613,3914
614,3918
615,3940
616,3944
617,3945
618,3948
619,3949
620,3950
621,3953
622,3955
623,3956
624,3959
625,3965
626,3970
627,3972
628,3973
629,3989
630,3996
631,4004
632,4019
633,4035
634,4039
635,4040
636,4042
637,4047
638,4048
639,4054
640,4055
641,4057
642,4058
643,4060
644,4061
645,4078
646,4080
647,4084
648,4090
649,4098
650,4107
651,4108
652,4109
653,4110
654,4116
655,4134
656,4137
657,4138
658,4140
659,4142
660,4145
661,4152
662,4153
663,4157
664,4163
665,4178
666,4182
667,4189
668,4190
669,4199
670,4200
671,4202
672,4203
673,4214
674,4219
675,4220
676,4233
677,4234
678,4237
679,4242
680,4251
681,4277
682,4287
683,4289
684,4297
685,4300
686,4327
687,4328
688,4344
689,4345
690,4346
691,4360
692,4361
693,4371
694,4385
695,4397
696,4398
697,4407
698,4408
699,4411
700,4412
701,4413
702,4414
703,4433
704,4469
705,4470
706,4471
707,4472
708,4518
